#: table_doi: 10.17182/hepdata.56191.v1/t51
#: name: Table 51
#: description: Spin density matrix elements for diffractive electroproduction of RHO0 mesons as a function of  W.

#: data_file: Table51.yaml
#: keyword reactions: E+ P --> E+ RHO0 DD | E- P --> E- RHO0 DD
#: keyword observables: RHO
#: keyword phrases: Exclusive | Electron production
#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- RHO0 DD
#: Q**2 [GeV^2],3.3
#: sqrts [GEV],300 + 320
'W [GEV]','RHO(JJ=5,MM=1-1)','stat +','stat -','sys +','sys -'
43.0,-0.015,0.1,-0.1,0.018,-0.064
59.0,0.134,0.147,-0.147,0.022,-0.03
76.0,0.025,0.041,-0.041,0.035,-0.018
92.0,0.018,0.04,-0.04,0.077,-0.012

#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- RHO0 DD
#: Q**2 [GeV^2],3.3
#: sqrts [GEV],300 + 320
'W [GEV]',' RHO(JJ=6,MM=10)','stat +','stat -','sys +','sys -'
43.0,0.018,0.04,-0.04,0.077,-0.012
59.0,-0.082,0.118,-0.118,0.019,-0.011
76.0,-0.13,0.266,-0.266,0.02,-0.013
92.0,0.163,0.143,-0.143,0.023,-0.027

#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- RHO0 DD
#: Q**2 [GeV^2],3.3
#: sqrts [GEV],300 + 320
'W [GEV]','  RHO(JJ=6,MM=1-1)','stat +','stat -','sys +','sys -'
43.0,0.163,0.143,-0.143,0.023,-0.027
59.0,0.154,0.263,-0.263,0.032,-0.012
76.0,-0.071,0.08,-0.08,0.021,-0.014
92.0,0.12,0.291,-0.291,0.081,-0.036

