#: table_doi: 10.17182/hepdata.56191.v1/t43
#: name: Table 43
#: description: Spin density matrix elements for diffractive electroproduction of PHI mesons as a function of  Q**2.

#: data_file: Table43.yaml
#: keyword reactions: E+ P --> E+ PHI DD | E- P --> E- PHI DD
#: keyword observables: RHO
#: keyword phrases: Exclusive | Electron production
#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- PHI DD
#: W [GeV],75.0 (35.0-180.0)
#: sqrts [GEV],300 + 320
'Q**2 [GEV**2]','Q**2 [GEV**2]','','stat +','stat -','sys +','sys -'
3.3,3.3,-0.06,0.174,-0.174,0.011,-0.013
6.6,3.3,-0.049,0.07,-0.07,0.018,-0.018
15.8,3.3,-0.008,0.018,-0.018,0.02,-0.026
3.3,6.6,-0.059,0.153,-0.153,0.008,-0.01
6.6,6.6,0.006,0.044,-0.044,0.012,-0.009
15.8,6.6,-0.004,0.014,-0.014,0.015,-0.011
3.3,15.8,-0.044,0.023,-0.023,0.021,-0.015
6.6,15.8,-0.073,0.025,-0.025,0.017,-0.013
15.8,15.8,-0.028,0.034,-0.034,0.013,-0.018

