#: table_doi: 10.17182/hepdata.56191.v1/t99
#: name: Table 99
#: description: Di-pion mass dependence of the ratio R.

#: data_file: Table99.yaml
#: keyword reactions: E+ P --> E+ RHO0 DD | E- P --> E- RHO0 DD
#: keyword observables: SIG/SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | Electron production
#: M(P=5) [GEV],<5
#: RE,E+- P --> E+- RHO0 DD
#: Q**2 [GeV^2],8.6 (5.0-60.0)
#: sqrts [GEV],300 + 320
'M(C=PI+PI-) [GEV]','SIG(C=L)/SIG(C=T)','stat +','stat -','sys +','sys -'
0.65,5.7,0.59,-0.52,2.85,-1.75
0.75,3.7,0.28,-0.26,0.46,-0.43
0.85,2.72,0.25,-0.23,0.4,-0.36
0.95,1.39,0.17,-0.15,0.2,-0.17
1.05,0.9,0.14,-0.12,0.08,-0.06

