#: table_doi: 10.17182/hepdata.56191.v1/t62
#: name: Table 62
#: description: Spin density matrix elements for diffractive electroproduction of RHO0 mesons as a function of  T.

#: data_file: Table62.yaml
#: keyword reactions: E+ P --> E+ RHO0 DD | E- P --> E- RHO0 DD
#: keyword observables: RHO
#: keyword phrases: Exclusive | Electron production
#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- RHO0 DD
#: W [GeV],75.0 (35.0-180.0)
#: Q**2 [GeV^2],3.3
#: sqrts [GEV],300 + 320
'ABS(T) [GEV**2]','ABS(T) [GEV**2]','','stat +','stat -','sys +','sys -'
0.08,0.08,0.602,0.014,-0.014,0.011,-0.031
0.34,0.08,0.593,0.02,-0.02,0.019,-0.029
1.05,0.08,0.66,0.04,-0.04,0.033,-0.045
0.08,0.34,0.03,0.009,-0.009,0.011,-0.012
0.34,0.34,0.026,0.014,-0.014,0.013,-0.009
1.05,0.34,0.15,0.032,-0.032,0.017,-0.028
0.08,1.05,-0.004,0.011,-0.011,0.002,-0.004
0.34,1.05,0.037,0.017,-0.017,0.006,-0.002
1.05,1.05,-0.08,0.036,-0.036,0.01,-0.015

