#: table_doi: 10.17182/hepdata.56191.v1/t73
#: name: Table 73
#: description: Spin density matrix elements for diffractive electroproduction of PHI mesons as a function of  T.

#: data_file: Table73.yaml
#: keyword reactions: E+ P --> E+ PHI DD | E- P --> E- PHI DD
#: keyword observables: RHO
#: keyword phrases: Exclusive | Electron production
#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- PHI DD
#: W [GeV],75.0 (35.0-180.0)
#: sqrts [GEV],300 + 320
'ABS(T) [GEV**2]','ABS(T) [GEV**2]','','stat +','stat -','sys +','sys -'
0.08,0.08,-0.058,0.108,-0.108,0.005,-0.007
0.34,0.08,-0.069,0.166,-0.166,0.037,-0.02
1.05,0.08,0.007,0.032,-0.032,0.14,-0.127
0.08,0.34,-0.012,0.079,-0.079,0.005,-0.002
0.34,0.34,-0.044,0.138,-0.138,0.02,-0.015
1.05,0.34,-0.029,0.04,-0.04,0.068,-0.065
0.08,1.05,-0.028,0.019,-0.019,0.016,-0.009
0.34,1.05,-0.071,0.027,-0.027,0.016,-0.02
1.05,1.05,-0.139,0.059,-0.059,0.026,-0.025

