#: table_doi: 10.17182/hepdata.56191.v1/t10
#: name: Table 10
#: description: W dependence of the GAMMA* P cross section for elastic RHO0 production  for Q**2 There is an additional overall normalization uncertainty of 3.9 PCT.

#: data_file: Table10.yaml
#: keyword reactions: GAMMA* P --> RHO0 P
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | Photoproduction
#: RE,GAMMA* P --> RHO0 P
#: Q**2 [GeV^2],6.6
#: sqrts [GEV],300 + 320
'W [GEV]','SIG [NB]','stat +','stat -','sys +','sys -'
48.0,72.6,4.3,-4.3,7.8,-4.2
64.0,97.2,5.9,-5.9,9.4,-5.5
80.0,99.3,6.2,-6.2,7.2,-5.0
96.0,120.0,9.0,-9.0,10.0,-6.0
114.0,115.0,10.0,-10.0,10.0,-6.0

