#: table_doi: 10.17182/hepdata.56191.v1/t15
#: name: Table 15
#: description: W dependence of the GAMMA* P cross section for dissociative RHO0 production  for Q**2 There is an additional overall normalization uncertainty of 4.6 PCT.

#: data_file: Table15.yaml
#: keyword reactions: GAMMA* P --> RHO0 DD
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | Photoproduction
#: RE,GAMMA* P --> RHO0 DD
#: Q**2 [GeV^2],7.5
#: sqrts [GEV],300 + 320
#: M(P=4) [GEV],< 5
'W [GEV]','SIG [NB]','stat +','stat -','sys +','sys -'
48.0,36.6,2.8,-2.8,4.9,-3.0
64.0,38.8,4.2,-4.2,5.1,-3.6
80.0,34.9,3.7,-3.7,4.3,-3.4
96.0,40.2,4.3,-4.3,4.4,-4.2
114.0,46.2,5.2,-5.2,5.0,-4.5

