#: table_doi: 10.17182/hepdata.56191.v1/t42
#: name: Table 42
#: description: Spin density matrix elements for diffractive electroproduction of PHI mesons as a function of  Q**2.

#: data_file: Table42.yaml
#: keyword reactions: E+ P --> E+ PHI DD | E- P --> E- PHI DD
#: keyword observables: RHO
#: keyword phrases: Exclusive | Electron production
#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- PHI DD
#: W [GeV],75.0 (35.0-180.0)
#: sqrts [GEV],300 + 320
'Q**2 [GEV**2]','Q**2 [GEV**2]','','stat +','stat -','sys +','sys -'
3.3,3.3,0.581,0.023,-0.023,0.014,-0.015
6.6,3.3,0.746,0.024,-0.024,0.017,-0.016
15.8,3.3,0.864,0.031,-0.031,0.019,-0.016
3.3,6.6,-0.004,0.017,-0.017,0.018,-0.02
6.6,6.6,0.011,0.018,-0.018,0.012,-0.013
15.8,6.6,0.007,0.024,-0.024,0.014,-0.011
3.3,15.8,-0.059,0.02,-0.02,0.008,-0.004
6.6,15.8,0.047,0.02,-0.02,0.004,-0.003
15.8,15.8,-0.02,0.025,-0.025,0.006,-0.002

