#: table_doi: 10.17182/hepdata.56191.v1/t75
#: name: Table 75
#: description: Spin density matrix elements for diffractive electroproduction of PHI mesons as a function of  T.

#: data_file: Table75.yaml
#: keyword reactions: E+ P --> E+ PHI DD | E- P --> E- PHI DD
#: keyword observables: RHO
#: keyword phrases: Exclusive | Electron production
#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- PHI DD
#: W [GeV],75.0 (35.0-180.0)
#: sqrts [GEV],300 + 320
'ABS(T) [GEV**2]','ABS(T) [GEV**2]','','stat +','stat -','sys +','sys -'
0.08,0.08,0.037,0.029,-0.029,0.025,-0.026
0.34,0.08,0.099,0.042,-0.042,0.046,-0.048
1.05,0.08,0.138,0.097,-0.097,0.071,-0.081
0.08,0.34,-0.002,0.02,-0.02,0.009,-0.01
0.34,0.34,0.049,0.03,-0.03,0.015,-0.018
1.05,0.34,0.006,0.066,-0.066,0.044,-0.053
0.08,1.05,0.176,0.009,-0.009,0.003,-0.004
0.34,1.05,0.155,0.013,-0.013,0.009,-0.008
1.05,1.05,0.094,0.032,-0.032,0.021,-0.03

