#: table_doi: 10.17182/hepdata.56191.v1/t82
#: name: Table 82
#: description: Spin density matrix elements for diffractive electroproduction of RHO0 mesons as a function of  M(PI+PI-).

#: data_file: Table82.yaml
#: keyword reactions: E+ P --> E+ RHO0 DD | E- P --> E- RHO0 DD
#: keyword observables: RHO
#: keyword phrases: Exclusive | Electron production
#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- RHO0 DD
#: W [GeV],75.0 (35.0-180.0)
#: Q**2 [GeV^2],8.6
#: sqrts [GEV],300 + 320
'M(C=PI+PI-) [GEV]','RHO(JJ=04,MM=00)','stat +','stat -','sys +','sys -'
0.65,0.857,0.012,-0.012,0.048,-0.049
0.75,0.793,0.012,-0.012,0.019,-0.03
0.85,0.747,0.016,-0.016,0.032,-0.032
0.95,0.586,0.027,-0.027,0.031,-0.028
1.05,0.473,0.035,-0.035,0.021,-0.026

#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- RHO0 DD
#: W [GeV],75.0 (35.0-180.0)
#: Q**2 [GeV^2],8.6
#: sqrts [GEV],300 + 320
'M(C=PI+PI-) [GEV]',' RE(RHO(JJ=04,MM=10))','stat +','stat -','sys +','sys -'
0.65,-0.002,0.013,-0.013,0.015,-0.014
0.75,0.016,0.009,-0.009,0.011,-0.01
0.85,0.028,0.012,-0.012,0.009,-0.012
0.95,-0.039,0.018,-0.018,0.012,-0.009
1.05,0.125,0.024,-0.024,0.021,-0.015

#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- RHO0 DD
#: W [GeV],75.0 (35.0-180.0)
#: Q**2 [GeV^2],8.6
#: sqrts [GEV],300 + 320
'M(C=PI+PI-) [GEV]','  RHO(JJ=04,MM=1-1)','stat +','stat -','sys +','sys -'
0.65,-0.051,0.014,-0.014,0.007,-0.008
0.75,0.005,0.009,-0.009,0.002,-0.001
0.85,0.033,0.013,-0.013,0.002,-0.004
0.95,-0.063,0.022,-0.022,0.012,-0.01
1.05,-0.116,0.031,-0.031,0.024,-0.025

