#: table_doi: 10.17182/hepdata.56191.v1/t105
#: name: Table 105
#: description: T dependence of the ratio of the helicity amplitudes (assumed purely imaginary) and phase difference between the T11 and T00 amplitudes for RHO0  production in the Q**2 range 5 to 60 GeV**2.

#: data_file: Table105.yaml
#: keyword reactions: E+ P --> E+ RHO0 DD | E- P --> E- RHO0 DD
#: keyword observables: AMP/AMP | PHASE
#: keyword phrases: Exclusive | Electron production
#: M(P=5) [GEV],<5
#: RE,E+- P --> E+- RHO0 DD
#: Q**2 [GeV^2],8.6 (5.0-60.0)
#: sqrts [GEV],300 + 320
'ABS(T) [GEV]','AMP(42=11)/AMP(42=00)','stat +','stat -','sys +','sys -'
0.08,0.559,0.013,-0.013,0.018,-0.012
0.34,0.445,0.016,-0.016,0.029,-0.01
1.05,0.422,0.021,-0.021,0.029,-0.107

#: M(P=5) [GEV],<5
#: RE,E+- P --> E+- RHO0 DD
#: Q**2 [GeV^2],8.6 (5.0-60.0)
#: sqrts [GEV],300 + 320
'ABS(T) [GEV]','AMP(42=01)/AMP(42=00)','stat +','stat -','sys +','sys -'
0.08,0.059,0.014,-0.014,0.028,-0.028
0.34,0.104,0.02,-0.02,0.05,-0.046
1.05,0.113,0.033,-0.033,0.056,-0.064

#: M(P=5) [GEV],<5
#: RE,E+- P --> E+- RHO0 DD
#: Q**2 [GeV^2],8.6 (5.0-60.0)
#: sqrts [GEV],300 + 320
'ABS(T) [GEV]','AMP(42=10)/AMP(42=00)','stat +','stat -','sys +','sys -'
0.08,0.012,0.009,-0.009,0.005,-0.005
0.34,-0.007,0.012,-0.012,0.01,-0.007
1.05,-0.103,0.019,-0.019,0.046,-0.022

#: M(P=5) [GEV],<5
#: RE,E+- P --> E+- RHO0 DD
#: Q**2 [GeV^2],8.6 (5.0-60.0)
#: sqrts [GEV],300 + 320
'ABS(T) [GEV]','AMP(42=-11)/AMP(42=00)','stat +','stat -','sys +','sys -'
0.08,-0.009,0.011,-0.011,0.002,-0.001
0.34,-0.037,0.016,-0.016,0.034,-0.008
1.05,-0.09,0.023,-0.023,0.07,-0.025

#: M(P=5) [GEV],<5
#: RE,E+- P --> E+- RHO0 DD
#: Q**2 [GeV^2],8.6 (5.0-60.0)
#: sqrts [GEV],300 + 320
'ABS(T) [GEV]','COS(PHASE(42=11)-PHASE(42=00))','stat +','stat -','sys +','sys -'
0.08,0.947,0.026,-0.026,0.023,-0.031
0.34,0.894,0.044,-0.044,0.094,-0.089
1.05,0.955,0.076,-0.076,0.087,-0.241

