#: table_doi: 10.17182/hepdata.56191.v1/t80
#: name: Table 80
#: description: Spin density matrix elements for diffractive electroproduction of RHO0 mesons as a function of  M(PI+PI-).

#: data_file: Table80.yaml
#: keyword reactions: E+ P --> E+ RHO0 DD | E- P --> E- RHO0 DD
#: keyword observables: RHO
#: keyword phrases: Exclusive | Electron production
#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- RHO0 DD
#: W [GeV],75.0 (35.0-180.0)
#: Q**2 [GeV^2],3.3
#: sqrts [GEV],300 + 320
'M(C=PI+PI-) [GEV]','RHO(JJ=5,MM=00)','stat +','stat -','sys +','sys -'
0.65,0.139,0.036,-0.036,0.046,-0.059
0.75,0.142,0.024,-0.024,0.049,-0.034
0.85,0.302,0.036,-0.036,0.032,-0.284
0.95,0.202,0.049,-0.049,0.044,-0.032
1.05,0.263,0.071,-0.071,0.079,-0.13

#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- RHO0 DD
#: W [GeV],75.0 (35.0-180.0)
#: Q**2 [GeV^2],3.3
#: sqrts [GEV],300 + 320
'M(C=PI+PI-) [GEV]',' RHO(JJ=5,MM=11)','stat +','stat -','sys +','sys -'
0.65,0.005,0.025,-0.025,0.025,-0.021
0.75,0.01,0.017,-0.017,0.006,-0.013
0.85,-0.084,0.025,-0.025,0.145,-0.028
0.95,-0.005,0.037,-0.037,0.028,-0.034
1.05,-0.027,0.051,-0.051,0.041,-0.031

#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- RHO0 DD
#: W [GeV],75.0 (35.0-180.0)
#: Q**2 [GeV^2],3.3
#: sqrts [GEV],300 + 320
'M(C=PI+PI-) [GEV]','  RE(RHO(JJ=5,MM=10))','stat +','stat -','sys +','sys -'
0.65,0.147,0.011,-0.011,0.009,-0.011
0.75,0.151,0.007,-0.007,0.003,-0.005
0.85,0.181,0.011,-0.011,0.006,-0.004
0.95,0.167,0.017,-0.017,0.008,-0.009
1.05,0.084,0.025,-0.025,0.022,-0.034

