#: table_doi: 10.17182/hepdata.56191.v1/t78
#: name: Table 78
#: description: Spin density matrix elements for diffractive electroproduction of RHO0 mesons as a function of  M(PI+PI-).

#: data_file: Table78.yaml
#: keyword reactions: E+ P --> E+ RHO0 DD | E- P --> E- RHO0 DD
#: keyword observables: RHO
#: keyword phrases: Exclusive | Electron production
#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- RHO0 DD
#: W [GeV],75.0 (35.0-180.0)
#: Q**2 [GeV^2],3.3
#: sqrts [GEV],300 + 320
'M(C=PI+PI-) [GEV]','RHO(JJ=1,MM=00)','stat +','stat -','sys +','sys -'
0.65,-0.033,0.091,-0.091,0.026,-0.033
0.75,0.068,0.07,-0.07,0.084,-0.017
0.85,0.084,0.07,-0.07,0.045,-0.054
0.95,-0.089,0.223,-0.223,0.061,-0.029
1.05,0.212,0.186,-0.186,0.06,-0.077

#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- RHO0 DD
#: W [GeV],75.0 (35.0-180.0)
#: Q**2 [GeV^2],3.3
#: sqrts [GEV],300 + 320
'M(C=PI+PI-) [GEV]',' RHO(JJ=1,MM=11)','stat +','stat -','sys +','sys -'
0.65,-0.029,0.079,-0.079,0.027,-0.027
0.75,-0.033,0.035,-0.035,0.011,-0.041
0.85,-0.058,0.042,-0.042,0.025,-0.019
0.95,-0.062,0.187,-0.187,0.015,-0.034
1.05,-0.135,0.101,-0.101,0.03,-0.037

#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- RHO0 DD
#: W [GeV],75.0 (35.0-180.0)
#: Q**2 [GeV^2],3.3
#: sqrts [GEV],300 + 320
'M(C=PI+PI-) [GEV]','  RE(RHO(JJ=1,MM=10))','stat +','stat -','sys +','sys -'
0.65,0.02,0.023,-0.023,0.009,-0.013
0.75,-0.069,0.017,-0.017,0.011,-0.011
0.85,-0.043,0.022,-0.022,0.009,-0.009
0.95,-0.035,0.036,-0.036,0.014,-0.014
1.05,-0.003,0.051,-0.051,0.038,-0.018

