#: table_doi: 10.17182/hepdata.56191.v1/t17
#: name: Table 17
#: description: W dependence of the GAMMA* P cross section for elastic PHI production  for Q**2 There is an additional overall normalization uncertainty of 4.7 PCT.

#: data_file: Table17.yaml
#: keyword reactions: GAMMA* P --> PHI P
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | Photoproduction
#: RE,GAMMA* P --> PHI P
#: Q**2 [GeV^2],3.3
#: sqrts [GEV],300 + 320
'W [GEV]','SIG [NB]','stat +','stat -','sys +','sys -'
41.0,41.2,4.3,-4.3,5.3,-2.9
54.0,55.1,5.7,-5.7,5.4,-3.7
67.0,49.2,6.9,-6.9,6.2,-4.4
80.0,57.5,7.4,-7.4,6.8,-4.6
93.0,69.6,8.4,-8.4,7.5,-5.2

