#: table_doi: 10.17182/hepdata.56191.v1/t71
#: name: Table 71
#: description: Spin density matrix elements for diffractive electroproduction of RHO0 mesons as a function of  T.

#: data_file: Table71.yaml
#: keyword reactions: E+ P --> E+ RHO0 DD | E- P --> E- RHO0 DD
#: keyword observables: RHO
#: keyword phrases: Exclusive | Electron production
#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- RHO0 DD
#: W [GeV],75.0 (35.0-180.0)
#: Q**2 [GeV^2],8.6
#: sqrts [GEV],300 + 320
'ABS(T) [GEV**2]','ABS(T) [GEV**2]','','stat +','stat -','sys +','sys -'
0.08,0.08,-0.013,0.006,-0.006,0.002,-0.003
0.34,0.08,-0.007,0.009,-0.009,0.004,-0.004
1.05,0.08,0.06,0.016,-0.016,0.029,-0.053
0.08,0.34,-0.145,0.005,-0.005,0.003,-0.003
0.34,0.34,-0.113,0.007,-0.007,0.006,-0.007
1.05,0.34,-0.103,0.011,-0.011,0.014,-0.015
0.08,1.05,-0.02,0.006,-0.006,0.001,-0.002
0.34,1.05,0.017,0.007,-0.007,0.003,-0.003
1.05,1.05,-0.029,0.012,-0.012,0.002,-0.005

