#: table_doi: 10.17182/hepdata.56191.v1/t20
#: name: Table 20
#: description: W dependence of the GAMMA* P cross section for dissociative PHI production  for Q**2 There is an additional overall normalization uncertainty of 5.3 PCT.

#: data_file: Table20.yaml
#: keyword reactions: GAMMA* P --> PHI DD
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | Photoproduction
#: RE,GAMMA* P --> PHI DD
#: Q**2 [GeV^2],5.0
#: sqrts [GEV],300 + 320
#: M(P=4) [GEV],< 5
'W [GEV]','SIG [NB]','stat +','stat -','sys +','sys -'
50.0,9.3,1.6,-1.6,1.6,-1.2
70.0,17.4,2.3,-2.3,2.2,-2.3
90.0,15.2,2.5,-2.5,1.9,-1.9
110.0,11.6,2.9,-2.9,1.7,-2.0
130.0,32.7,11.7,-11.7,6.3,-6.1
150.0,22.4,13.7,-13.7,6.1,-6.5

