#: table_doi: 10.17182/hepdata.56191.v1/t67
#: name: Table 67
#: description: Spin density matrix elements for diffractive electroproduction of RHO0 mesons as a function of  T.

#: data_file: Table67.yaml
#: keyword reactions: E+ P --> E+ RHO0 DD | E- P --> E- RHO0 DD
#: keyword observables: RHO
#: keyword phrases: Exclusive | Electron production
#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- RHO0 DD
#: W [GeV],75.0 (35.0-180.0)
#: Q**2 [GeV^2],8.6
#: sqrts [GEV],300 + 320
'ABS(T) [GEV**2]','ABS(T) [GEV**2]','','stat +','stat -','sys +','sys -'
0.08,0.08,0.734,0.011,-0.011,0.014,-0.022
0.34,0.08,0.817,0.014,-0.014,0.031,-0.04
1.05,0.08,0.841,0.016,-0.016,0.069,-0.067
0.08,0.34,0.03,0.008,-0.008,0.009,-0.008
0.34,0.34,0.004,0.011,-0.011,0.016,-0.014
1.05,0.34,-0.049,0.019,-0.019,0.014,-0.013
0.08,1.05,-0.006,0.008,-0.008,0.001,-0.001
0.34,1.05,-0.008,0.012,-0.012,0.004,-0.006
1.05,1.05,-0.061,0.019,-0.019,0.015,-0.016

