#: table_doi: 10.17182/hepdata.56191.v1/t94
#: name: Table 94
#: description: W dependence of the ratio R.

#: data_file: Table94.yaml
#: keyword reactions: E+ P --> E+ RHO0 DD | E- P --> E- RHO0 DD
#: keyword observables: SIG/SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | Electron production
#: M(P=5) [GEV],<5
#: RE,E+- P --> E+- RHO0 DD
#: Q**2 [GeV^2],7.5 (5.0-15.5)
#: sqrts [GEV],300 + 320
'W [GEV]','SIG(C=L)/SIG(C=T)','stat +','stat -','sys +','sys -'
58.0,2.67,0.28,-0.24,0.22,-0.18
76.0,3.0,0.34,-0.29,0.29,-0.3
93.0,3.31,0.47,-0.41,0.46,-0.45
111.0,2.72,0.32,-0.28,0.26,-0.22

