#: table_doi: 10.17182/hepdata.45318.v1/t3
#: name: Table 3
#: description: The DVCS cross section as a function of W for 3 Q**2 values.

#: data_file: Table3.yaml
#: keyword reactions: E- P --> E- GAMMA P | GAMMA* P --> GAMMA P
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | Photoproduction | Electron production
#: keyword cmenergies: 45.0-130.0
#: ABS(T) [GEV**2],,,< 1
#: RE,,,GAMMA* P --> GAMMA P
#: Q**2 [GeV^2],,,8.0
#: SQRT(S) [GeV],,,45.0-130.0
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','SIG(C=DVCS) [NB]','stat +','stat -','sys +','sys -'
45.0,30.0,60.0,2.6,0.24,-0.24,0.24,-0.24
70.0,60.0,80.0,3.15,0.4,-0.4,0.33,-0.33
90.0,80.0,100.0,5.25,0.55,-0.55,0.55,-0.55
110.0,100.0,120.0,5.11,0.71,-0.71,0.76,-0.76
130.0,120.0,140.0,5.88,1.89,-1.89,1.26,-1.26

#: ABS(T) [GEV**2],,,< 1
#: RE,,,GAMMA* P --> GAMMA P
#: Q**2 [GeV^2],,,15.5
#: SQRT(S) [GeV],,,45.0-130.0
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','SIG(C=DVCS) [NB]','stat +','stat -','sys +','sys -'
45.0,30.0,60.0,0.94,0.1,-0.1,0.1,-0.1
70.0,60.0,80.0,1.54,0.17,-0.17,0.14,-0.14
90.0,80.0,100.0,0.95,0.2,-0.2,0.17,-0.17
110.0,100.0,120.0,1.69,0.31,-0.31,0.33,-0.33
130.0,120.0,140.0,2.06,0.51,-0.51,0.56,-0.56

#: ABS(T) [GEV**2],,,< 1
#: RE,,,GAMMA* P --> GAMMA P
#: Q**2 [GeV^2],,,25.0
#: SQRT(S) [GeV],,,45.0-130.0
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','SIG(C=DVCS) [NB]','stat +','stat -','sys +','sys -'
45.0,30.0,60.0,0.35,0.13,-0.13,0.07,-0.07
70.0,60.0,80.0,0.36,0.1,-0.1,0.05,-0.05
90.0,80.0,100.0,0.83,0.18,-0.18,0.09,-0.09
110.0,100.0,120.0,0.9,0.23,-0.23,0.18,-0.18
130.0,120.0,140.0,0.9,0.36,-0.36,0.32,-0.32

