#: table_doi: 10.17182/hepdata.33837.v1/t2
#: name: Table 2
#: description: No description provided.
#: data_file: Table2.yaml
#: keyword reactions: PBAR P --> PBAR P | P P --> P P
#: keyword observables: DSIG/DT | SLOPE
#: keyword phrases: Elastic | Single Differential Cross Section | Proton-Proton Elastic Scattering | Proton-Proton Scattering | Proton-Proton Elastic Differential Cross Section | Proton-AntiProton Elastic Differential Cross Section
#: keyword cmenergies: 31.0-62.0
#: RE,P P --> P P
#: SQRT(S) [GeV],31.0-62.0
'SQRT(S) [GEV]','D(SIG)/D(T) (AT T=0) [MB/GEV**2]','error +','error -','sys,LUMINOSITY UNCERTAINTY +','sys,LUMINOSITY UNCERTAINTY -'
31.0,93.0,5.5,-5.5,'10.0%','-10.0%'
31.0,74.0,3.6,-3.6,'10.0%','-10.0%'
53.0,72.5,2.2,-2.2,'10.0%','-10.0%'
62.0,66.4,1.7,-1.7,'10.0%','-10.0%'

#: RE,P P --> P P
#: SQRT(S) [GeV],31.0-62.0
'SQRT(S) [GEV]','SLOPE [GEV**-2]','error +','error -'
31.0,11.7,0.62,-0.62
31.0,10.92,0.15,-0.15
53.0,11.06,0.11,-0.11
62.0,10.71,0.08,-0.08

#: RE,PBAR P --> PBAR P
#: SQRT(S) [GeV],31.0-62.0
'SQRT(S) [GEV]','D(SIG)/D(T) (AT T=0) [MB/GEV**2]','error +','error -','sys,LUMINOSITY UNCERTAINTY_1 +','sys,LUMINOSITY UNCERTAINTY_1 -','sys,LUMINOSITY UNCERTAINTY_2 +','sys,LUMINOSITY UNCERTAINTY_2 -'
31.0,90.4,5.1,-5.1,'10.0%','-10.0%','15.0%','-15.0%'
31.0,75.6,4.6,-4.6,'10.0%','-10.0%','15.0%','-15.0%'
53.0,78.0,3.2,-3.2,'10.0%','-10.0%','15.0%','-15.0%'
62.0,72.3,3.0,-3.0,'10.0%','-10.0%','15.0%','-15.0%'

#: RE,PBAR P --> PBAR P
#: SQRT(S) [GeV],31.0-62.0
'SQRT(S) [GEV]','SLOPE [GEV**-2]','error +','error -'
31.0,11.37,0.6,-0.6
31.0,11.16,0.2,-0.2
53.0,11.5,0.15,-0.15
62.0,11.12,0.15,-0.15

