#: table_doi: 10.17182/hepdata.33837.v1/t3
#: name: Table 3
#: description: LOCAL SLOPE PARAMETERS BASED ON QUADRATIC EXPONENTIAL FIT.

#: data_file: Table3.yaml
#: keyword reactions: PBAR P --> PBAR P | P P --> P P
#: keyword observables: SLOPE
#: keyword phrases: Elastic | Proton-Proton Elastic Scattering | Proton-Proton Scattering
#: keyword cmenergies: 31.0-62.0
#: RE,P P --> P P
#: SQRT(S) [GeV],31.0-62.0
'SQRT(S) [GEV]','SLOPE(C=-T=0.2 GEV**2)','error +','error -'
31.0,11.77,0.28,-0.28
53.0,'-',0,0
62.0,'-',0,0

#: RE,PBAR P --> PBAR P
#: SQRT(S) [GeV],31.0-62.0
'SQRT(S) [GEV]','SLOPE(C=-T=0.2 GEV**2)','error +','error -'
31.0,12.03,0.34,-0.34
53.0,'-',0,0
62.0,'-',0,0

#: RE,P P --> P P
#: SQRT(S) [GeV],31.0-62.0
'SQRT(S) [GEV]','SLOPE(C=-T=0.4 GEV**2)','error +','error -'
31.0,10.72,0.32,-0.32
53.0,11.14,0.32,-0.32
62.0,10.71,0.24,-0.24

#: RE,PBAR P --> PBAR P
#: SQRT(S) [GeV],31.0-62.0
'SQRT(S) [GEV]','SLOPE(C=-T=0.4 GEV**2)','error +','error -'
31.0,11.0,0.38,-0.38
53.0,11.41,0.36,-0.36
62.0,11.0,0.34,-0.34

