z, A, lambda, tau
8.425703246489995,-68.77773588292422,1.2185988245546308e47,21.3633323865585
8.419745864173056,-68.67773588292421,1.0482985140409014e47,21.189540173471606
8.41378423362093,-68.57773588292422,9.017971417367902e46,21.017036343925938
8.407818345710735,-68.47773588292421,7.757689744887619e46,20.845812160140902
8.401848191286842,-68.37773588292421,6.673530138525166e46,20.675858938450485
8.395873761160711,-68.27773588292422,5.740880562971153e46,20.50716804899426
8.389895046110725,-68.17773588292421,4.938568275398859e46,20.33973091541085
8.383912036882032,-68.07773588292422,4.2483792310431275e46,20.1735390145369
8.37792472418636,-67.97773588292421,3.65464464350425e46,20.008583876098392
8.371933098701863,-67.87773588292421,3.1438853163217526e46,19.844857082415672
8.36593715107294,-67.77773588292422,2.704505673463956e46,19.682350268098034
8.359936871910065,-67.67773588292421,2.3265305443011174e46,19.521055119748958
8.353932251789628,-67.57773588292422,2.0013787289465707e46,19.36096337566912
8.347923281253738,-67.47773588292421,1.7216682045975246e46,19.202066825560305
8.34190995081007,-67.37773588292421,1.4810485516187658e46,19.044357310232414
8.335892250931671,-67.27773588292422,1.2740567958858243e46,18.88782672131169
8.3298701720568,-67.17773588292422,1.0959933953612435e46,18.7324670009503
8.323843704588732,-67.07773588292422,9.428155560754903e45,18.578270141537544
8.317812838895595,-66.97773588292422,8.110454559997346e45,18.425228185412536
8.311777565310175,-66.87773588292421,6.97691293657057e45,18.27333322457783
8.305737874129747,-66.77773588292422,6.001793694010344e45,18.1225774004158
8.299693755615879,-66.67773588292422,5.1629565769829526e45,17.9729529034071
8.293645199994259,-66.57773588292422,4.4413554417352765e45,17.82445197284615
8.2875921974545,-66.47773588292422,3.8206058649428976e45,17.67706689656464
8.281534738149963,-66.37773588292421,3.286613175977531e45,17.53079001065146
8.27547281219756,-66.27773588292422,2.8272524691184342e45,17.385613699176975
8.269406409677568,-66.17773588292422,2.4320933320592908e45,17.241530393915948
8.26333552063344,-66.07773588292422,2.09216304207012e45,17.098532574076806
8.257260135071613,-65.97773588292422,1.7997428543211684e45,16.956612766026165
8.25118024296131,-65.87773588292421,1.5481927580330963e45,16.815763543019045
8.245095834234352,-65.77773588292422,1.3318007223123032e45,16.675977524930314
8.239006898784957,-65.67773588292422,1.1456530094224668e45,16.537247377985725
8.232913426469548,-65.57773588292422,9.855226114670664e44,16.39956581449551
8.226815407106551,-65.47773588292422,8.47773277850646e44,16.26292559258931
8.220712830476195,-65.37773588292421,7.292769547971712e44,16.127319515952358
8.214605686320313,-65.27773588292422,6.2734276265920174e44,15.99274043356336
8.20849396434214,-65.17773588292422,5.396558986623703e44,15.859181239433358
8.2023776542061,-65.07773588292422,4.642250780440139e44,15.726634872346352
8.19625674553762,-64.97773588292422,3.993373203722046e44,15.595094315601946
8.190131227922901,-64.87773588292421,3.4351905457474564e44,15.464552596757903
8.184001090908728,-64.77773588292422,2.9550265965081067e44,15.335002787373877
8.17786632400225,-64.67773588292422,2.541976814346942e44,15.206438002759748
8.171726916670774,-64.57773588292422,2.1866607193626296e44,15.0788514017221
8.165582858341548,-64.47773588292422,1.881008891034727e44,14.95223618631137
8.15943413840155,-64.37773588292421,1.6180797340919673e44,14.826585601575946
8.15328074619728,-64.27773588292422,1.3919018524852359e44,14.701892935308967
8.147122671034527,-64.17773588292422,1.1973384526670548e44,14.578151517805408
8.140959902178162,-64.07773588292422,1.029970697535922e44,14.455354721614182
8.134792428851918,-63.97773588292422,8.859973626146772e43,14.333495961293083
8.128620240238167,-63.87773588292422,7.621485161687487e43,14.212568693168286
8.122443325477693,-63.77773588292422,6.556112633504624e43,14.09256641509076
8.116261673669477,-63.67773588292422,5.639658683555111e43,13.973482666195633
8.11007527387046,-63.577735882924216,4.851308042046741e43,13.855311026663909
8.103884115095326,-63.47773588292422,4.173154824544803e43,13.738045117484798
8.097688186316264,-63.37773588292422,3.5897958951026723e43,13.62167860021887
8.09148747646274,-63.27773588292422,3.08798106216091e43,13.506205176762982
8.085281974421271,-63.17773588292422,2.6563121643394123e43,13.391618589116371
8.07907166903518,-63.077735882924216,2.284984213303602e43,13.277912619148102
8.072856549104374,-62.97773588292422,1.965562715804676e43,13.165081088365822
8.06663660338509,-62.87773588292422,1.6907921184656868e43,13.053117857685637
8.060411820589673,-62.77773588292422,1.4544310255545666e43,12.94201682720352
8.05418218938632,-62.67773588292422,1.2511104478942464e43,12.831771935968096
8.047947698398854,-62.577735882924216,1.076211864014312e43,12.722377161754276
8.041708336206465,-62.47773588292422,9.257623245162655e42,12.613826520837721
8.035464091343467,-62.37773588292422,7.963442176276386e42,12.506114067771241
8.029214952299066,-62.27773588292422,6.850176467961709e42,12.399233895164231
8.022960907517087,-62.17773588292422,5.892536576595017e42,12.293180133459215
8.01670194539574,-62.077735882924216,5.0687679793573236e42,12.187946950712451
8.010438054287361,-61.97773588292422,4.360157058545119e42,12.083528552375775
8.00416922249816,-61.87773588292422,3.750606049778427e42,11.979919181079236
7.99789543828796,-61.77773588292422,3.2262674012042066e42,11.877113116414732
7.991616689869942,-61.67773588292421,2.7752292398462566e42,11.775104674720103
7.985332965410387,-61.57773588292421,2.387244801960142e42,11.673888208865348
7.979044253028408,-61.47773588292421,2.053499682381996e42,11.57345810804105
7.972750540795693,-61.37773588292421,1.7664116168865537e42,11.473808797548264
7.966451816736232,-61.27773588292421,1.5194582504489832e42,11.37493473858482
7.960148068826055,-61.17773588292421,1.3070289798032711e42,11.276830428036979
7.953839284992962,-61.07773588292421,1.1242975050468854e42,11.179490398275961
7.947525453116246,-60.97773588292421,9.671121959566165e41,11.082909216946177
