#: table_doi: 10.17182/hepdata.46134.v1/t16
#: name: Table 16
#: description: Spin density matrices as a function of Q**2 for ABS(T) < 5 GeV**2 and W from 40 to 160 GeV.

#: data_file: Table16.yaml
#: keyword reactions: E- P --> E- J/PSI P | E+ P --> E+ J/PSI P | GAMMA P --> J/PSI P
#: keyword observables: POL.RHO
#: keyword phrases: Exclusive | J/Psi | Polarization | Photoproduction | Electron production
#: keyword cmenergies: 40.0-160.0
#: ABS(T) [GEV**2],,,< 5
#: RE,,,GAMMA P --> J/PSI P
#: W [GEV],,,40 TO 160
#: SQRT(S) [GeV],,,40.0-160.0
'Q**2 [GEV**2]','Q**2 [GEV**2] LOW','Q**2 [GEV**2] HIGH','POL.RHO(ALPHA=1//MM=1-1)','stat +','stat -','sys +','sys -'
3.2,2.0,5.0,0.149,0.077,-0.077,0.064,-0.064
7.0,5.0,10.0,0.43,0.11,-0.11,0.06,-0.06
22.4,10.0,50.0,0.53,0.13,-0.13,0.05,-0.05

#: ABS(T) [GEV**2],,,< 5
#: RE,,,GAMMA P --> J/PSI P
#: W [GEV],,,40 TO 160
#: SQRT(S) [GeV],,,40.0-160.0
'Q**2 [GEV**2]','Q**2 [GEV**2] LOW','Q**2 [GEV**2] HIGH','POL.RHO(ALPHA=1//MM=00) + 2*POL.RHO(ALPHA=1/MM=11)','stat +','stat -','sys +','sys -'
3.2,2.0,5.0,0.026,0.035,-0.035,0.026,-0.026
7.0,5.0,10.0,0.062,0.054,-0.054,0.028,-0.028
22.4,10.0,50.0,0.026,0.069,-0.069,0.031,-0.031

#: ABS(T) [GEV**2],,,< 5
#: RE,,,GAMMA P --> J/PSI P
#: W [GEV],,,40 TO 160
#: SQRT(S) [GeV],,,40.0-160.0
'Q**2 [GEV**2]','Q**2 [GEV**2] LOW','Q**2 [GEV**2] HIGH','POL.RHO(ALPHA=5//MM=00) + 2*POL.RHO(ALPHA=5/MM=11)','stat +','stat -','sys +','sys -'
3.2,2.0,5.0,-0.035,0.072,-0.072,0.055,-0.055
7.0,5.0,10.0,-0.16,0.12,-0.12,0.06,-0.06
22.4,10.0,50.0,0.04,0.16,-0.16,0.06,-0.06

