#: table_doi: 10.17182/hepdata.46134.v1/t19
#: name: Table 19
#: description: Spin density matrix elements as a function of ABS(T) in the W range 40 to 160 GeV for the electroproduction region.

#: data_file: Table19.yaml
#: keyword reactions: E- P --> E- J/PSI P | E+ P --> E+ J/PSI P | GAMMA P --> J/PSI P
#: keyword observables: POL.RHO
#: keyword phrases: Exclusive | J/Psi | Polarization | Photoproduction | Electron production
#: keyword cmenergies: 40.0-160.0
#: RE,GAMMA P --> J/PSI P
#: W [GEV],40 TO 160
#: Q**2 [GEV**2],8.9 (BIN=2 TO 80)
#: SQRT(S) [GeV],40.0-160.0
'ABS(T) [GEV**2]','POL.RHO(ALPHA=1//MM=1-1)','stat +','stat -','sys +','sys -'
0.05,0.19,0.11,-0.11,0.06,-0.06
0.19,0.62,0.11,-0.11,0.06,-0.06
0.64,0.361,0.097,-0.097,0.061,-0.061
3.0,0.07,0.15,-0.15,0.06,-0.06

#: RE,GAMMA P --> J/PSI P
#: W [GEV],40 TO 160
#: Q**2 [GEV**2],8.9 (BIN=2 TO 80)
#: SQRT(S) [GeV],40.0-160.0
'ABS(T) [GEV**2]','POL.RHO(ALPHA=1//MM=00) + 2*POL.RHO(ALPHA=1/MM=11)','stat +','stat -','sys +','sys -'
0.05,-0.16,0.12,-0.12,0.06,-0.06
0.19,0.04,0.1,-0.1,0.06,-0.06
0.64,-0.073,0.091,-0.091,0.057,-0.057
3.0,-0.15,0.15,-0.15,0.06,-0.06

#: RE,GAMMA P --> J/PSI P
#: W [GEV],40 TO 160
#: Q**2 [GEV**2],8.9 (BIN=2 TO 80)
#: SQRT(S) [GeV],40.0-160.0
'ABS(T) [GEV**2]','POL.RHO(ALPHA=5//MM=00) + 2*POL.RHO(ALPHA=5/MM=11)','stat +','stat -','sys +','sys -'
0.05,0.031,0.055,-0.055,0.029,-0.029
0.19,0.004,0.048,-0.048,0.026,-0.026
0.64,-0.039,0.043,-0.043,0.027,-0.027
3.0,0.083,0.079,-0.079,0.03,-0.03

