#: table_doi: 10.17182/hepdata.46134.v1/t5
#: name: Table 5
#: description: Cross section for elastic J/PSI photoproduction as a function of W in Q**2 bins for ABS(T) < 1.2 GeV**2.

#: data_file: Table5.yaml
#: keyword reactions: E- P --> E- J/PSI P | E+ P --> E+ J/PSI P | GAMMA P --> J/PSI P
#: keyword observables: SIG
#: keyword phrases: Exclusive | J/Psi | Integrated Cross Section | Cross Section | Photoproduction | Electron production
#: keyword cmenergies: 53.4-144.2
#: ABS(T) [GEV**2],,,< 1.2
#: RE,,,GAMMA P --> J/PSI P
#: Q**2 [GEV**2],,,22.4 (BIN=10 TO 80)
#: SQRT(S) [GeV],,,53.4-144.2
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','SIG [NB]','stat +','stat -','sys +','sys -'
53.4,40.0,70.0,3.19,0.69,-0.69,0.31,-0.31
83.9,70.0,100.0,4.04,0.7,-0.7,0.39,-0.39
114.1,100.0,130.0,5.29,1.0,-1.0,0.5,-0.5
144.2,130.0,160.0,6.1,1.6,-1.6,0.6,-0.6

