#: table_doi: 10.17182/hepdata.46134.v1/t1
#: name: Table 1
#: description: Cross section for elastic J/PSI photoproduction in Q**2 bins for W = 90 GeV and ABS(T) < 1.2 GeV**2.

#: data_file: Table1.yaml
#: keyword reactions: E- P --> E- J/PSI P | E+ P --> E+ J/PSI P | GAMMA P --> J/PSI P
#: keyword observables: SIG
#: keyword phrases: Exclusive | J/Psi | Integrated Cross Section | Cross Section | Photoproduction | Electron production
#: keyword cmenergies: 90.0
#: ABS(T) [GEV**2],,,< 1.2
#: RE,,,GAMMA P --> J/PSI P
#: W [GeV],,,90.0
#: SQRT(S) [GeV],,,90.0
'Q**2 [GEV**2]','Q**2 [GEV**2] LOW','Q**2 [GEV**2] HIGH','SIG [NB]','stat +','stat -','sys +','sys -'
0.05,0.0,1.0,73.1,1.1,-1.1,6.4,-6.4
2.5,2.0,3.2,37.3,3.9,-3.9,3.6,-3.6
4.0,3.2,5.0,31.7,2.7,-2.7,3.0,-3.0
6.3,5.0,8.0,21.8,2.4,-2.4,2.1,-2.1
10.0,8.0,12.7,13.3,1.8,-1.8,1.3,-1.3
15.8,12.7,20.1,7.53,1.24,-1.24,0.72,-0.72
25.0,20.1,31.8,3.43,0.81,-0.81,0.33,-0.33
47.3,31.8,80.0,0.6,0.24,-0.24,0.06,-0.06

