minus_t,minus_t_low,minus_t_high,dsigma,error_plus,error_minus,syst_plus,syst_minus
0.875,0.85,0.9,0.00953,0.000762,-0.000762,'5.0%','-5.0%'
0.925,0.9,0.95,0.00519,0.000363,-0.000363,'5.0%','-5.0%'
0.975,0.95,1.0,0.00332,0.000232,-0.000232,'5.0%','-5.0%'
1.025,1.0,1.05,0.00193,0.000116,-0.000116,'5.0%','-5.0%'
1.0750000000000002,1.05,1.1,0.00107,7.49e-05,-7.49e-05,'5.0%','-5.0%'
1.125,1.1,1.15,0.000596,4.17e-05,-4.17e-05,'5.0%','-5.0%'
1.1749999999999998,1.15,1.2,0.000358,2.51e-05,-2.51e-05,'5.0%','-5.0%'
1.225,1.2,1.25,0.000158,1.11e-05,-1.11e-05,'5.0%','-5.0%'
1.275,1.25,1.3,6.67e-05,5.34e-06,-5.34e-06,'5.0%','-5.0%'
1.3250000000000002,1.3,1.35,2.92e-05,2.92e-06,-2.92e-06,'5.0%','-5.0%'
1.375,1.35,1.4,6.38e-06,1.08e-06,-1.08e-06,'5.0%','-5.0%'
1.4249999999999998,1.4,1.45,2e-06,5.6e-07,-5.6e-07,'5.0%','-5.0%'
1.475,1.45,1.5,8.28e-06,1.24e-06,-1.24e-06,'5.0%','-5.0%'
1.525,1.5,1.55,1.17e-05,1.4e-06,-1.4e-06,'5.0%','-5.0%'
1.5750000000000002,1.55,1.6,2.04e-05,2.04e-06,-2.04e-06,'5.0%','-5.0%'
1.625,1.6,1.65,2.51e-05,2.51e-06,-2.51e-06,'5.0%','-5.0%'
1.6749999999999998,1.65,1.7,2.97e-05,2.67e-06,-2.67e-06,'5.0%','-5.0%'
1.725,1.7,1.75,3.43e-05,2.74e-06,-2.74e-06,'5.0%','-5.0%'
1.775,1.75,1.8,4.42e-05,3.54e-06,-3.54e-06,'5.0%','-5.0%'
1.8250000000000002,1.8,1.85,3.95e-05,3.55e-06,-3.55e-06,'5.0%','-5.0%'
1.875,1.85,1.9,4.25e-05,3.83e-06,-3.83e-06,'5.0%','-5.0%'
1.9249999999999998,1.9,1.95,4.39e-05,3.51e-06,-3.51e-06,'5.0%','-5.0%'
1.975,1.95,2.0,4.28e-05,3.85e-06,-3.85e-06,'5.0%','-5.0%'
2.05,2.0,2.1,3.71e-05,2.6e-06,-2.6e-06,'5.0%','-5.0%'
2.1500000000000004,2.1,2.2,3.7e-05,2.59e-06,-2.59e-06,'5.0%','-5.0%'
2.25,2.2,2.3,3.19e-05,2.23e-06,-2.23e-06,'5.0%','-5.0%'
2.3499999999999996,2.3,2.4,2.65e-05,1.85e-06,-1.85e-06,'5.0%','-5.0%'
2.45,2.4,2.5,2.61e-05,1.83e-06,-1.83e-06,'5.0%','-5.0%'
2.55,2.5,2.6,2.14e-05,1.71e-06,-1.71e-06,'5.0%','-5.0%'
2.6500000000000004,2.6,2.7,1.69e-05,1.52e-06,-1.52e-06,'5.0%','-5.0%'
2.75,2.7,2.8,1.41e-05,1.27e-06,-1.27e-06,'5.0%','-5.0%'
2.8499999999999996,2.8,2.9,1.24e-05,1.12e-06,-1.12e-06,'5.0%','-5.0%'
2.95,2.9,3.0,9.65e-06,1.06e-06,-1.06e-06,'5.0%','-5.0%'
3.05,3.0,3.1,8.6e-06,8.6e-07,-8.6e-07,'5.0%','-5.0%'
3.1500000000000004,3.1,3.2,7.05e-06,7.75e-07,-7.75e-07,'5.0%','-5.0%'
3.25,3.2,3.3,4.94e-06,6.42e-07,-6.42e-07,'5.0%','-5.0%'
3.3499999999999996,3.3,3.4,4.45e-06,4.89e-07,-4.89e-07,'5.0%','-5.0%'
3.45,3.4,3.5,3.97e-06,5.56e-07,-5.56e-07,'5.0%','-5.0%'
3.55,3.5,3.6,3.69e-06,5.53e-07,-5.53e-07,'5.0%','-5.0%'
3.6500000000000004,3.6,3.7,2.27e-06,4.31e-07,-4.31e-07,'5.0%','-5.0%'
3.75,3.7,3.8,2.46e-06,4.67e-07,-4.67e-07,'5.0%','-5.0%'
3.8499999999999996,3.8,3.9,1.28e-06,3.2e-07,-3.2e-07,'5.0%','-5.0%'
3.95,3.9,4.0,1.27e-06,3.17e-07,-3.17e-07,'5.0%','-5.0%'
4.05,4.0,4.1,1.02e-06,2.86e-07,-2.86e-07,'5.0%','-5.0%'
4.15,4.1,4.2,1.71e-06,3.93e-07,-3.93e-07,'5.0%','-5.0%'
4.25,4.2,4.3,1.01e-06,3.03e-07,-3.03e-07,'5.0%','-5.0%'
4.35,4.3,4.4,3.86e-07,1.78e-07,-1.78e-07,'5.0%','-5.0%'
4.45,4.4,4.5,3.63e-07,1.67e-07,-1.67e-07,'5.0%','-5.0%'
4.6,4.5,4.7,5.7e-07,1.65e-07,-1.65e-07,'5.0%','-5.0%'
4.800000000000001,4.7,4.9,4.19e-07,1.42e-07,-1.42e-07,'5.0%','-5.0%'
5.0,4.9,5.1,1.87e-07,9.54e-08,-9.54e-08,'5.0%','-5.0%'
5.199999999999999,5.1,5.3,1.73e-07,1e-07,-1e-07,'5.0%','-5.0%'
5.4,5.3,5.5,2.02e-07,1.19e-07,-1.19e-07,'5.0%','-5.0%'
5.75,5.5,6.0,4.46e-08,4.42e-08,-4.42e-08,'5.0%','-5.0%'

