minus_t,dsigma,error_plus,error_minus,syst_plus,syst_minus
0.05,49.4,2.2,-2.2,'10.0%','-10.0%'
0.07,42.0,2.0,-2.0,'10.0%','-10.0%'
0.09,35.6,2.0,-2.0,'10.0%','-10.0%'
0.11,29.1,2.2,-2.2,'10.0%','-10.0%'
0.13,18.3,1.2,-1.2,'10.0%','-10.0%'
0.15,16.0,1.0,-1.0,'10.0%','-10.0%'
0.17,12.8,0.6,-0.6,'10.0%','-10.0%'
0.19,9.06,0.41,-0.41,'10.0%','-10.0%'
0.21,7.44,0.37,-0.37,'10.0%','-10.0%'
0.23,5.68,0.35,-0.35,'10.0%','-10.0%'
0.25,4.82,0.42,-0.42,'10.0%','-10.0%'
0.27,4.02,0.42,-0.42,'10.0%','-10.0%'
0.35,1.59,0.23,-0.23,'10.0%','-10.0%'
0.37,1.25,0.11,-0.11,'10.0%','-10.0%'
0.39,0.992,0.092,-0.092,'10.0%','-10.0%'
0.42,0.72,0.049,-0.049,'10.0%','-10.0%'
0.46,0.49,0.04,-0.04,'10.0%','-10.0%'
0.5,0.375,0.037,-0.037,'10.0%','-10.0%'
0.54,0.197,0.027,-0.027,'10.0%','-10.0%'
0.58,0.143,0.023,-0.023,'10.0%','-10.0%'
0.62,0.115,0.029,-0.029,'10.0%','-10.0%'
0.68,0.048,0.009,-0.009,'10.0%','-10.0%'
0.76,0.033,0.009,-0.009,'10.0%','-10.0%'
0.85,0.013,0.006,-0.006,'10.0%','-10.0%'
