minus_t,minus_t_low,minus_t_high,dsigma,error_plus,error_minus,syst_plus,syst_minus
0.875,0.85,0.9,0.00681,0.00102,-0.00102,'5.0%','-5.0%'
0.925,0.9,0.95,0.00423,0.00055,-0.00055,'5.0%','-5.0%'
0.975,0.95,1.0,0.0021,0.00021,-0.00021,'5.0%','-5.0%'
1.025,1.0,1.05,0.00117,0.000105,-0.000105,'5.0%','-5.0%'
1.0750000000000002,1.05,1.1,0.000677,6.09e-05,-6.09e-05,'5.0%','-5.0%'
1.125,1.1,1.15,0.000356,3.56e-05,-3.56e-05,'5.0%','-5.0%'
1.1749999999999998,1.15,1.2,0.000162,1.62e-05,-1.62e-05,'5.0%','-5.0%'
1.225,1.2,1.25,9.03e-05,8.13e-06,-8.13e-06,'5.0%','-5.0%'
1.275,1.25,1.3,4.17e-05,4.17e-06,-4.17e-06,'5.0%','-5.0%'
1.3250000000000002,1.3,1.35,2.31e-05,2.77e-06,-2.77e-06,'5.0%','-5.0%'
1.375,1.35,1.4,1.31e-05,1.96e-06,-1.96e-06,'5.0%','-5.0%'
1.4249999999999998,1.4,1.45,2.07e-05,2.48e-06,-2.48e-06,'5.0%','-5.0%'
1.475,1.45,1.5,2.41e-05,2.65e-06,-2.65e-06,'5.0%','-5.0%'
1.525,1.5,1.55,3.35e-05,3.35e-06,-3.35e-06,'5.0%','-5.0%'
1.5750000000000002,1.55,1.6,3.78e-05,3.4e-06,-3.4e-06,'5.0%','-5.0%'
1.625,1.6,1.65,4.62e-05,4.16e-06,-4.16e-06,'5.0%','-5.0%'
1.6749999999999998,1.65,1.7,4.69e-05,4.22e-06,-4.22e-06,'5.0%','-5.0%'
1.725,1.7,1.75,5.47e-05,4.38e-06,-4.38e-06,'5.0%','-5.0%'
1.775,1.75,1.8,4.77e-05,3.82e-06,-3.82e-06,'5.0%','-5.0%'
1.8250000000000002,1.8,1.85,5.7e-05,4.56e-06,-4.56e-06,'5.0%','-5.0%'
1.875,1.85,1.9,4.85e-05,3.88e-06,-3.88e-06,'5.0%','-5.0%'
1.9249999999999998,1.9,1.95,5.4e-05,4.32e-06,-4.32e-06,'5.0%','-5.0%'
1.975,1.95,2.0,5.35e-05,4.28e-06,-4.28e-06,'5.0%','-5.0%'
2.05,2.0,2.1,5.11e-05,3.07e-06,-3.07e-06,'5.0%','-5.0%'
2.1500000000000004,2.1,2.2,3.94e-05,2.76e-06,-2.76e-06,'5.0%','-5.0%'
2.25,2.2,2.3,2.88e-05,2.02e-06,-2.02e-06,'5.0%','-5.0%'
2.3499999999999996,2.3,2.4,2.87e-05,2.01e-06,-2.01e-06,'5.0%','-5.0%'
2.45,2.4,2.5,2.42e-05,1.69e-06,-1.69e-06,'5.0%','-5.0%'
2.55,2.5,2.6,2.15e-05,1.51e-06,-1.51e-06,'5.0%','-5.0%'
2.6500000000000004,2.6,2.7,1.68e-05,1.18e-06,-1.18e-06,'5.0%','-5.0%'
2.75,2.7,2.8,1.59e-05,1.27e-06,-1.27e-06,'5.0%','-5.0%'
2.8499999999999996,2.8,2.9,1.34e-05,1.07e-06,-1.07e-06,'5.0%','-5.0%'
2.95,2.9,3.0,1.06e-05,8.48e-07,-8.48e-07,'5.0%','-5.0%'
3.05,3.0,3.1,7.36e-06,7.36e-07,-7.36e-07,'5.0%','-5.0%'
3.1500000000000004,3.1,3.2,6.96e-06,6.96e-07,-6.96e-07,'5.0%','-5.0%'
3.25,3.2,3.3,4.61e-06,5.53e-07,-5.53e-07,'5.0%','-5.0%'
3.3499999999999996,3.3,3.4,5.2e-06,5.72e-07,-5.72e-07,'5.0%','-5.0%'
3.45,3.4,3.5,4.01e-06,4.81e-07,-4.81e-07,'5.0%','-5.0%'
3.55,3.5,3.6,3.68e-06,4.78e-07,-4.78e-07,'5.0%','-5.0%'
3.6500000000000004,3.6,3.7,3.08e-06,4e-07,-4e-07,'5.0%','-5.0%'
3.75,3.7,3.8,2.03e-06,3.25e-07,-3.25e-07,'5.0%','-5.0%'
3.8499999999999996,3.8,3.9,1.82e-06,3.09e-07,-3.09e-07,'5.0%','-5.0%'
3.95,3.9,4.0,1.89e-06,3.21e-07,-3.21e-07,'5.0%','-5.0%'
4.05,4.0,4.1,1.67e-06,3.01e-07,-3.01e-07,'5.0%','-5.0%'
4.15,4.1,4.2,1.22e-06,2.44e-07,-2.44e-07,'5.0%','-5.0%'
4.25,4.2,4.3,7.25e-07,1.88e-07,-1.88e-07,'5.0%','-5.0%'
4.35,4.3,4.4,8.95e-07,2.15e-07,-2.15e-07,'5.0%','-5.0%'
4.45,4.4,4.5,8.59e-07,1.98e-07,-1.98e-07,'5.0%','-5.0%'
4.6,4.5,4.7,7.13e-07,1.43e-07,-1.43e-07,'5.0%','-5.0%'
4.800000000000001,4.7,4.9,3.31e-07,9.6e-08,-9.6e-08,'5.0%','-5.0%'
5.0,4.9,5.1,3.14e-07,9.73e-08,-9.73e-08,'5.0%','-5.0%'
5.199999999999999,5.1,5.3,2.08e-07,7.07e-08,-7.07e-08,'5.0%','-5.0%'
5.4,5.3,5.5,1.31e-07,6.03e-08,-6.03e-08,'5.0%','-5.0%'
5.75,5.5,6.0,7.02e-08,2.67e-08,-2.67e-08,'5.0%','-5.0%'
6.25,6.0,6.5,4.41e-08,2.29e-08,-2.29e-08,'5.0%','-5.0%'
6.75,6.5,7.0,4.65e-08,2.37e-08,-2.37e-08,'5.0%','-5.0%'
7.25,7.0,7.5,1.18e-08,1.17e-08,-1.17e-08,'5.0%','-5.0%'

