#: table_doi: 10.17182/hepdata.34800.v1/t4
#: name: Table 4
#: description: No description provided.
#: data_file: Table4.yaml
#: keyword reactions: P P --> P P
#: keyword observables: DSIG/DT
#: keyword phrases: Elastic | Single Differential Cross Section | Proton-Proton Elastic Scattering | Proton-Proton Scattering | Proton-Proton Elastic Differential Cross Section
#: keyword cmenergies: 52.81
#: RE,,,P P --> P P
#: SQRT(S) [GeV],,,52.81,,,,
'-T [GEV**2]','-T [GEV**2] LOW','-T [GEV**2] HIGH','D(SIG)/DT [MB/GEV**2]','error +','error -','sys,ABSOLUTE NORMALIZATION UNCERTAINTY//CORRECTIONS DUE TO THE BACKGROUND, THE FINITE BIN SIZE, AND THE INFLUENCE OF THE T-RESOLUTION ARE NEGLIGIBLE EVERYWHERE EXCEPT IN THE REGION OF THE DIFFRACTION MINIMUM +','sys,ABSOLUTE NORMALIZATION UNCERTAINTY//CORRECTIONS DUE TO THE BACKGROUND, THE FINITE BIN SIZE, AND THE INFLUENCE OF THE T-RESOLUTION ARE NEGLIGIBLE EVERYWHERE EXCEPT IN THE REGION OF THE DIFFRACTION MINIMUM -'
4.25,4.2,4.3,1.01e-06,9.09e-08,-9.09e-08,'5.0%','-5.0%'
4.35,4.3,4.4,7.85e-07,7.85e-08,-7.85e-08,'5.0%','-5.0%'
4.45,4.4,4.5,6.7e-07,6.7e-08,-6.7e-08,'5.0%','-5.0%'
4.6,4.5,4.7,5.18e-07,4.14e-08,-4.14e-08,'5.0%','-5.0%'
4.800000000000001,4.7,4.9,3.33e-07,3.33e-08,-3.33e-08,'5.0%','-5.0%'
5.0,4.9,5.1,2.75e-07,3.02e-08,-3.02e-08,'5.0%','-5.0%'
5.199999999999999,5.1,5.3,2.02e-07,2.42e-08,-2.42e-08,'5.0%','-5.0%'
5.4,5.3,5.5,1.61e-07,2.09e-08,-2.09e-08,'5.0%','-5.0%'
5.75,5.5,6.0,8.18e-08,9e-09,-9e-09,'5.0%','-5.0%'
6.25,6.0,6.5,3.75e-08,6.38e-09,-6.38e-09,'5.0%','-5.0%'
6.75,6.5,7.0,1.54e-08,4e-09,-4e-09,'5.0%','-5.0%'
7.25,7.0,7.5,1.02e-08,3.26e-09,-3.26e-09,'5.0%','-5.0%'
7.75,7.5,8.0,3.22e-09,1.87e-09,-1.87e-09,'5.0%','-5.0%'
8.25,8.0,8.5,4.45e-09,2.23e-09,-2.23e-09,'5.0%','-5.0%'
8.75,8.5,9.0,2.31e-09,1.64e-09,-1.64e-09,'5.0%','-5.0%'
9.25,9.0,9.5,4.59e-09,2.29e-09,-2.29e-09,'5.0%','-5.0%'
9.75,9.5,10.0,3.71e-09,2.15e-09,-2.15e-09,'5.0%','-5.0%'

